Store_Name,Store_Country,Order_Year,Product_Category,Avg_Order_Value,Total_Orders
Store 1,Australia,2021,Cameras and camcorders,312.0,1
Store 1,Australia,2021,Games and Toys,16.99,1
Store 1,Australia,2021,"Music, Movies and Audio Books",602.99,2
Store 1,Australia,2021,TV and Video,1549.99,2
Store 1,Australia,2020,Audio,689.85,4
Store 1,Australia,2020,Cameras and camcorders,2418.6,5
Store 1,Australia,2020,Cell phones,705.54,13
Store 1,Australia,2020,Computers,1750.36,14
Store 1,Australia,2020,Games and Toys,72.66,13
Store 1,Australia,2020,Home Appliances,493.0,1
Store 1,Australia,2020,"Music, Movies and Audio Books",516.17,12
Store 1,Australia,2020,TV and Video,1128.92,3
Store 1,Australia,2019,Audio,308.5,10
Store 1,Australia,2019,Cameras and camcorders,1664.84,13
Store 1,Australia,2019,Cell phones,414.21,19
Store 1,Australia,2019,Computers,634.87,17
Store 1,Australia,2019,Games and Toys,58.34,11
Store 1,Australia,2019,Home Appliances,4757.53,7
Store 1,Australia,2019,"Music, Movies and Audio Books",270.52,18
Store 1,Australia,2019,TV and Video,380.19,3
Store 1,Australia,2018,Audio,320.51,9
Store 1,Australia,2018,Cameras and camcorders,932.66,3
Store 1,Australia,2018,Cell phones,1102.87,8
Store 1,Australia,2018,Computers,1587.58,11
Store 1,Australia,2018,Games and Toys,19.76,5
Store 1,Australia,2018,Home Appliances,3312.74,5
Store 1,Australia,2018,"Music, Movies and Audio Books",239.82,7
Store 1,Australia,2018,TV and Video,777.24,5
Store 1,Australia,2017,Audio,260.7,9
Store 1,Australia,2017,Cameras and camcorders,753.8,5
Store 1,Australia,2017,Cell phones,107.97,3
Store 1,Australia,2017,Computers,515.28,9
Store 1,Australia,2017,Games and Toys,14.5,2
Store 1,Australia,2017,Home Appliances,1169.8,6
Store 1,Australia,2017,"Music, Movies and Audio Books",456.26,9
Store 1,Australia,2017,TV and Video,687.34,4
Store 1,Australia,2016,Audio,160.51,6
Store 1,Australia,2016,Cameras and camcorders,709.5,2
Store 1,Australia,2016,Cell phones,657.5,2
